CELEX_number,case_number,year_case,year_judgment,date_case,date_judgment,language,case_duration,rate_of_production,Maas,judges,judge_rapporteur,JR_experience,JR_Country,JR_Any_Judge,JR_France,JR_Belgium,JR_Belgium_French,JR_Lux,JR_Francophone,AG_Country,advocate_general,art_256,art_258,art_263,art_265,art_267,art_268,art_270,word_count
61954CJ0001,19725,1954,1954,2/9/54,12/21/54,French,315,19.22222222,0.223894963,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Riese,1,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,6055
61954CJ0002,19756,1954,1954,2/18/54,12/21/54,Italian,306,24.33986928,0.225297443,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Riese,1,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,7448
61954CJ0003,19784,1954,1955,2/18/54,2/11/55,Italian,358,4.829608939,0.225103981,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Riese,1,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,1729
61954CJ0004,19815,1954,1955,2/18/54,2/11/55,Italian,358,5.284916201,0.222761361,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Riese,1,Germany,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,1892
61954CJ0006,19876,1954,1955,5/7/54,3/21/55,Dutch,318,11.29874214,0.219135926,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Hammes,1,Luxembourg,1,0,0,0,1,1,Germany,Roemer,0,0,1,0,0,0,0,3593
61954CJ0007,19906,1954,1956,10/11/54,4/23/56,French,560,14.10535714,0.235737254,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Rueff,1,France,0,1,0,0,0,1,Germany,Roemer,0,0,1,1,0,0,0,7899
61954CJ0008,19937,1954,1956,10/16/54,4/23/56,French,555,1.745945946,0.214451449,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Rueff,1,France,0,1,0,0,0,1,Germany,Roemer,0,0,1,1,0,0,0,969
61955CJ0001,20090,1955,1955,1/14/55,7/19/55,French,186,18.19892473,0.216978211,"Delvaux, Pilotti, Riese, Serrarens, van Kleffens",Serrarens,1,Netherlands,0,0,0,0,0,0,Germany,Roemer,0,0,0,0,0,1,1,3385
61955CJ0005,20210,1955,1955,3/22/55,6/28/55,Italian,98,26.17346939,0.234624403,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Riese,2,Germany,1,0,0,0,0,0,France,Lagrange,0,0,0,0,0,0,0,2565
61955CJ0008,20302,1955,1956,6/27/55,7/16/56,French,385,7.745454545,0.219822646,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",van Kleffens,1,Netherlands,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,2982
61955CJ0009,20333,1955,1956,6/27/55,11/29/56,French,521,10.20537428,0.226399083,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",van Kleffens,1,Netherlands,1,0,0,0,0,0,France,Lagrange,0,0,1,0,0,0,0,5317
61955CJ0010,20363,1955,1956,7/19/55,12/12/56,Italian,512,6.1796875,0.213570627,"Delvaux, Hammes, Pilotti, Riese, Rueff, Serrarens, van Kleffens",Serrarens,1,Netherlands,0,0,0,0,0,0,France,Lagrange,0,0,0,0,0,1,1,3164
